Category,Category Description,Product Name,Product Description,Product Base Price,Variant Name,Variant Price,Product Image URL
Coffee,"Hot, iced and blended coffee beverages",Espresso,Hot espresso,110.00,Primo,110.00,
Coffee,"Hot, iced and blended coffee beverages",Cafe Latte,Hot or iced latte,165.00,Hot Primo,165.00,http://localhost:3000/static/products/hot_cafe_latte.jpg
Coffee,"Hot, iced and blended coffee beverages",Cafe Latte,Hot or iced latte,165.00,Hot Medio,180.00,
Coffee,"Hot, iced and blended coffee beverages",Cafe Latte,Hot or iced latte,165.00,Iced Medio,180.00,
Coffee,"Hot, iced and blended coffee beverages",Cafe Latte,Hot or iced latte,165.00,Iced Massimo,195.00,
Coffee,"Hot, iced and blended coffee beverages",Cafe Mocha,Hot or iced mocha,170.00,Hot Primo,170.00,http://localhost:3000/static/products/hot_dark_mocha.webp
Coffee,"Hot, iced and blended coffee beverages",Cafe Mocha,Hot or iced mocha,170.00,Hot Medio,185.00,
Coffee,"Hot, iced and blended coffee beverages",Cafe Mocha,Hot or iced mocha,170.00,Iced Medio,185.00,
Coffee,"Hot, iced and blended coffee beverages",Cafe Mocha,Hot or iced mocha,170.00,Iced Massimo,200.00,
Coffee,"Hot, iced and blended coffee beverages",Spanish Latte,Hot or iced Spanish latte,160.00,Hot Primo,160.00,http://localhost:3000/static/products/hot_spanish_latte.jpg
Coffee,"Hot, iced and blended coffee beverages",Spanish Latte,Hot or iced Spanish latte,160.00,Hot Medio,180.00,
Coffee,"Hot, iced and blended coffee beverages",Spanish Latte,Hot or iced Spanish latte,160.00,Iced Medio,180.00,
Coffee,"Hot, iced and blended coffee beverages",Spanish Latte,Hot or iced Spanish latte,160.00,Iced Massimo,195.00,
Coffee,"Hot, iced and blended coffee beverages",Cafe Americano,Hot or iced americano,145.00,Hot Primo,145.00,http://localhost:3000/static/products/hot_americano.jpg
Coffee,"Hot, iced and blended coffee beverages",Cafe Americano,Hot or iced americano,145.00,Hot Medio,165.00,
